org_id,supplier_name,name_with_id
369,Cal Am Water Company - Garrapata,Cal Am Water Company - Garrapata - 369
2444,Tahoe City Public Utility District - Timberland,Tahoe City Public Utility District - Timberland - 2444
2444,Tahoe City Public Utility District - Madden Creek,Tahoe City Public Utility District - Madden Creek - 2444
2000,Temecula - Vail Lake Koa,Temecula - Vail Lake Koa - 2000
2401,Suburban Water Systems - Covina Knolls,Suburban Water Systems - Covina Knolls - 2401
1631,City Of Modesto - Central Turlock,City Of Modesto - Central Turlock - 1631
372,Cal Am - Security Park,Cal Am - Security Park - 372
2444,Tahoe City Public Utility District - Alpine Peaks,Tahoe City Public Utility District - Alpine Peaks - 2444
372,Cal Am - Walnut Grove,Cal Am - Walnut Grove - 372
1752,North Tahoe Public Utility District - Dollar Cove,North Tahoe Public Utility District - Dollar Cove - 1752
1752,North Tahoe Public Utility District - Carnelian Woods,North Tahoe Public Utility District - Carnelian Woods - 1752
372,Cal Am - Isleton,Cal Am - Isleton - 372
2444,Tahoe City Public Utility District - Mckinney - Quail,Tahoe City Public Utility District - Mckinney - Quail - 2444
1444,City Of Livingston,City Of Livingston - 1444
241,City Of Blythe,City Of Blythe - 241
2107,Rosamond Community Services District,Rosamond Community Services District - 2107
1059,Gswc - South San Gabriel,Gswc - South San Gabriel - 1059
1718,"Nevada Id - E. George, Banner Mountain","Nevada Id - E. George, Banner Mountain - 1718"
1388,City Of Lathrop,City Of Lathrop - 1388
2118,Rubidoux Community Services District,Rubidoux Community Services District - 2118
368,Cal Am Water Company - Baldwin Hills,Cal Am Water Company - Baldwin Hills - 368
2345,City Of South Pasadena,City Of South Pasadena - 2345
583,Coastside County Water District,Coastside County Water District - 583
1032,"Gswc - Bell, Bell Gardens","Gswc - Bell, Bell Gardens - 1032"
1058,Gswc - South Arcadia,Gswc - South Arcadia - 1058
368,Cal Am Water Company - Duarte,Cal Am Water Company - Duarte - 368
286,City Of Burlingame,City Of Burlingame - 286
1038,Gswc - Culver City,Gswc - Culver City - 1038
1049,Gswc - Norwalk,Gswc - Norwalk - 1049
1639,"Monrovia - City, Water Department","Monrovia - City, Water Department - 1639"
1041,Gswc - Florence - Graham,Gswc - Florence - Graham - 1041
1459,Lompoc - City Water Utility Div,Lompoc - City Water Utility Div - 1459
2626,Vaughn Water Company Inc,Vaughn Water Company Inc - 2626
372,Cal Am - Antelope,Cal Am - Antelope - 372
107,Atascadero Mutual Water Company,Atascadero Mutual Water Company - 107
1029,Gswc - Artesia,Gswc - Artesia - 1029
1034,Gswc - Claremont,Gswc - Claremont - 1034
1053,Golden State Water Company - Placentia - Yorba Linda,Golden State Water Company - Placentia - Yorba Linda - 1053
1052,Golden State Water Company - Orcutt,Golden State Water Company - Orcutt - 1052
2512,"Truckee - Donner Public Utility District, Main","Truckee - Donner Public Utility District, Main - 2512"
995,City Of Gilroy,City Of Gilroy - 995
1036,Golden State Water Co. - Cordova,Golden State Water Co. - Cordova - 1036
368,Cal Am Water Company - San Marino,Cal Am Water Company - San Marino - 368
372,Cal Am - Parkway,Cal Am - Parkway - 372
372,Cal Am - Lincoln Oaks,Cal Am - Lincoln Oaks - 372
2669,City Of Watsonville,City Of Watsonville - 2669
1054,Gswc - San Dimas,Gswc - San Dimas - 1054
372,Cal Am - Suburban Rosemont,Cal Am - Suburban Rosemont - 372
1671,City Of Mountain View,City Of Mountain View - 1671
904,City Of Folsom Main,City Of Folsom Main - 904
2213,Santa Cruz Water Department,Santa Cruz Water Department - 2213
1450,City Of Lodi,City Of Lodi - 1450
1701,City Of Napa,City Of Napa - 1701
2210,City Of Santa Clara,City Of Santa Clara - 2210
1062,Golden State Water Company - West Orange County,Golden State Water Company - West Orange County - 1062
867,City Of Fairfield,City Of Fairfield - 867
2381,City Of Stockton,City Of Stockton - 2381
1060,Gswc - Southwest,Gswc - Southwest - 1060
2083,City Of Riverside,City Of Riverside - 2083
577,Coachella Valley Water: Cove Community,Coachella Valley Water: Cove Community - 577
372,Cal Am - West Placer,Cal Am - West Placer - 372
372,Cal Am - Arden,Cal Am - Arden - 372
577,Coachella Valley Water: Irrigation District. No. 8,Coachella Valley Water: Irrigation District. No. 8 - 577
1718,Nevada Id - Lake Of Pines,Nevada Id - Lake Of Pines - 1718
1697,Myoma Dunes Mutual Water Company,Myoma Dunes Mutual Water Company - 1697
2444,Tahoe City Public Utility District - Main,Tahoe City Public Utility District - Main - 2444
1718,Nevada Id - North Auburn,Nevada Id - North Auburn - 1718
2789,City Of Yreka,City Of Yreka - 2789
1718,Nevada Id - Lake Wildwood,Nevada Id - Lake Wildwood - 1718
1752,North Tahoe Public Utility District - Main,North Tahoe Public Utility District - Main - 1752
821,"El Monte - City, Water Department","El Monte - City, Water Department - 821"
1533,Mammoth Cwd,Mammoth Cwd - 1533
4231,Mountain House Community Services District,Mountain House Community Services District - 4231
2432,City Of Susanville,City Of Susanville - 2432
1718,Nevada Id - Loma Rica,Nevada Id - Loma Rica - 1718
1631,City Of Modesto - North Turlock,City Of Modesto - North Turlock - 1631
1631,City Of Modesto - Walnut Manor,City Of Modesto - Walnut Manor - 1631
427,Cws - Tulco Water Company,Cws - Tulco Water Company - 427
1631,City Of Modesto - Grayson,City Of Modesto - Grayson - 1631
1631,City Of Modesto - South Turlock,City Of Modesto - South Turlock - 1631
1631,City Of Modesto - Del Rio,City Of Modesto - Del Rio - 1631
372,Cal Am - Dunnigan,Cal Am - Dunnigan - 372
2704,City Of Westminster,City Of Westminster - 2704
1083,Great Oaks Water Company Inc,Great Oaks Water Company Inc - 1083
673,City Of Daly City,City Of Daly City - 673
117,Azusa Light And Water,Azusa Light And Water - 117
1596,Mesa Water District,Mesa Water District - 1596
748,"Downey - City, Water Department","Downey - City, Water Department - 748"
2174,City Of San Jose - Evg - Edv - Coy,City Of San Jose - Evg - Edv - Coy - 2174
2037,City Of Redwood City,City Of Redwood City - 2037
420,California Water Service - San Mateo,California Water Service - San Mateo - 420
1849,Palmdale Water District,Palmdale Water District - 1849
285,"Burbank - City, Water Department","Burbank - City, Water Department - 285"
2661,Walnut Valley Water District,Walnut Valley Water District - 2661
2597,City Of Vacaville,City Of Vacaville - 2597
2209,City Of Santa Barbara Water Department,City Of Santa Barbara Water Department - 2209
392,California Water Service Co. - Ela,California Water Service Co. - Ela - 392
396,California Water Service Co. - Herm - Redo,California Water Service Co. - Herm - Redo - 396
1945,"Pomona - City, Water Department","Pomona - City, Water Department - 1945"
4993,Santa Clarita Valley W.a. - Valencia Divis,Santa Clarita Valley W.a. - Valencia Divis - 4993
4993,Santa Clarita Valley W.a. - Santa Clarita,Santa Clarita Valley W.a. - Santa Clarita - 4993
2425,City Of Sunnyvale,City Of Sunnyvale - 2425
391,California Water Service Co. - Dominguez,California Water Service Co. - Dominguez - 391
1004,"Glendale - City, Water Department","Glendale - City, Water Department - 1004"
977,City Of Garden Grove,City Of Garden Grove - 977
2603,City Of Vallejo,City Of Vallejo - 2603
123,City Of Bakersfield,City Of Bakersfield - 123
624,City Of Corona,City Of Corona - 624
2000,Rancho California Water District,Rancho California Water District - 2000
2132,Sacramento County Water Agency - Laguna - Vineyard,Sacramento County Water Agency - Laguna - Vineyard - 2132
2207,City Of Santa Ana,City Of Santa Ana - 2207
424,California Water Service - Stockton,California Water Service - Stockton - 424
2167,San Gabriel Valley Water Co. - El Monte,San Gabriel Valley Water Co. - El Monte - 2167
2140,Sacramento Suburban Water District,Sacramento Suburban Water District - 2140
2217,Santa Margarita Water District,Santa Margarita Water District - 2217
1663,Moulton Niguel Water District,Moulton Niguel Water District - 1663
1546,Marin Municipal Water District,Marin Municipal Water District - 1546
386,Cws - Bakersfield,Cws - Bakersfield - 386
1464,Long Beach Utilities Department,Long Beach Utilities Department - 1464
2130,City Of Sacramento Main,City Of Sacramento Main - 2130
2175,San Jose Water,San Jose Water - 2175
1473,"Los Angeles - City, Department. Of Water & Power","Los Angeles - City, Department. Of Water & Power - 1473"
445,Cambria Comm Services District,Cambria Comm Services District - 445
2633,"Vernon - City, Water Department","Vernon - City, Water Department - 2633"
397,Cws Southlake System,Cws Southlake System - 397
2180,San Lorenzo Valley Water District - Felton Water System,San Lorenzo Valley Water District - Felton Water System - 2180
2167,San Gabriel Valley Water Co - Montebello 1,San Gabriel Valley Water Co - Montebello 1 - 2167
2174,City Of San Jose - Nsj - Alviso,City Of San Jose - Nsj - Alviso - 2174
397,Cws - Kernville,Cws - Kernville - 397
1094,Greenfield County Water District,Greenfield County Water District - 1094
390,California Water Service Co. - Dixon,California Water Service Co. - Dixon - 390
2298,"Signal Hill - City, Water Department","Signal Hill - City, Water Department - 2298"
2132,Sacramento County Water Agency - Arden Park Vista,Sacramento County Water Agency - Arden Park Vista - 2132
102,Arvin Community Services District,Arvin Community Services District - 102
2290,"Sierra Madre - City, Water Department","Sierra Madre - City, Water Department - 2290"
2691,Westborough Water District,Westborough Water District - 2691
1644,Montebello Land & Water Co,Montebello Land & Water Co - 1644
787,City Of East Palo Alto,City Of East Palo Alto - 787
2169,City Of San Jacinto,City Of San Jacinto - 2169
