"org_id","supplier_name"
369,"Cal Am Water Company- - Garrapata"
2444,"Tahoe City Public Utility District - Timberland"
2444,"Tahoe City Public Utility District - Madden Creek"
2000,"Temecula - Vail Lake KOA"
2401,"Suburban Water Systems - Covina Knolls"
1631,"City Of Modesto - Central Turlock"
372,"Cal Am Water Company - Security Park"
2444,"Tahoe City Public Utility District - Alpine Peaks"
372,"Cal Am Water Company - Walnut Grove"
1752,"North Tahoe Public Utility District - Dollar Cove"
1752,"North Tahoe Public Utility District - Carnelian Woods"
372,"Cal Am Water Company - Isleton"
2444,"Tahoe City Public Utility District - Mckinney - Quail"
1444,"City Of Livingston"
241,"City Of Blythe"
2107,"Rosamond Community Services District"
1059,"Golden State Water Company- South San Gabriel"
1718,"Nevada Id - E. George, Banner Mountain"
1388,"City Of Lathrop"
2118,"Rubidoux Community Services District"
368,"Cal - Am Water Company- Baldwin Hills"
2345,"City Of South Pasadena"
583,"Coastside County Water District"
1032,"Golden State Water Company- Bell/Bell Gardens"
1058,"Golden State Water Company- South Arcadia"
368,"Cal - Am Water Company- Duarte"
286,"City Of Burlingame"
1038,"Golden State Water Company- Culver City"
1049,"Golden State Water Company- Norwalk"
1639,"City Of Monrovia Water Department"
1041,"Golden State Water Company- Florence - Graham"
1459,"Lompoc - City Water Utility Division"
2626,"Vaughn Water Companyinc"
372,"Cal Am Water Company - Antelope"
107,"Atascadero Mutual Water Company"
1029,"Golden State Water Company- Artesia"
1034,"Golden State Water Company- Claremont"
1053,"Golden State Water Company- Placentia - Yorba Linda"
1052,"Golden State Water Company- - Orcutt"
2512,"Truckee - Donner Public Utility District, Main"
995,"City Of Gilroy"
1036,"Golden State Water Company. - Cordova"
368,"Cal - Am Water Company- San Marino"
372,"Cal Am Water Company - Parkway"
372,"Cal Am Water Company - Lincoln Oaks"
2669,"City Of Watsonville"
1054,"Golden State Water Company- - San Dimas"
372,"Cal Am Water Company - Suburban Rosemont"
1671,"City Of Mountain View"
904,"City Of Folsom - Main"
2213,"Santa Cruz Water Department"
1450,"City Of Lodi"
1701,"City Of Napa"
2210,"City Of Santa Clara"
1062,"Golden State Water Company- West Orange County"
867,"City Of Fairfield"
2381,"City Of Stockton"
1060,"Golden State Water Company- Southwest"
2083,"City Of Riverside"
577,"Coachella Vwater District: Cove Community"
372,"Cal Am Water Company - West Placer"
372,"Cal Am Water Company - Arden"
577,"Coachella Vwater District: I.d. No. 8"
1718,"Nevada Id - Lake Of Pines"
1697,"Myoma Dunes Mutual Water Company"
2444,"Tahoe City Public Utility District - Main"
1718,"Nevada Id - North Auburn"
2789,"City Of Yreka"
1718,"Nevada Id - Lake Wildwood"
1752,"North Tahoe Public Utility District - Main"
821,"City Of El Monte Water Department"
1533,"Mammoth County Water Agencyter District"
4231,"Mountain House Community Services District"
2432,"City Of Susanville"
1718,"Nevada Id - Loma Rica"
1631,"City Of Modesto - North Turlock"
1631,"City Of Modesto - Walnut Manor"
427,"Cws - Tulco Water Company"
1631,"City Of Modesto - Grayson"
1631,"City Of Modesto - South Turlock"
1631,"City Of Modesto - Del Rio"
372,"Cal Am Water Company - Dunnigan"
2704,"City Of Westminster"
1083,"Great Oaks Water Companyinc"
673,"City Of Daly City"
117,"Azusa Light And Water"
1596,"Mesa Water District"
748,"City Of Downey Water Department"
2174,"City Of San Jose - Evg - Edv - Coy"
2037,"City Of Redwood City"
420,"California Water Service - San Mateo"
1849,"Palmdale Water District"
285,"City Of Burbank Water Department"
2661,"Walnut Valley Water District"
2597,"City Of Vacaville"
2209,"City Of Santa Barbara Water Department"
392,"California Water Service Company. - Ela"
396,"California Water Service Company. - Herm - Redo"
1945,"City Of Pomona Water Department"
4993,"Santa Clarita Valley Water Agency-Valencia Division"
4993,"Santa Clarita Valley Water Agency-Santa Clarita"
2425,"City Of Sunnyvale"
391,"California Water Service Company. - Dominguez"
1004,"City Of Glendale Water Department"
977,"City Of Garden Grove"
2603,"City Of Vallejo"
123,"City Of Bakersfield"
624,"City Of Corona"
2000,"Rancho California Water District"
2132,"Sacramento County Water Agency - Laguna - Vineyard"
2207,"City Of Santa Ana"
424,"California Water Service - Stockton"
2167,"San Gabriel Valley Water Company.-El Monte"
2140,"Sacramento Suburban Water District"
2217,"Santa Margarita Water District"
1663,"Moulton Niguel Water District"
1546,"Marin Municipal Water District"
386,"Cws - Bakersfield"
1464,"Long Beach Utilities Department"
2130,"City Of Sacramento Main"
2175,"San Jose Water"
1473,"Los Angeles - City, Department. Of Water & Power"
445,"Cambria Comm Services District"
2633,"City Of Vernon Water Department"
397,"Cws Southlake System"
2180,"Slvwater District - Felton Water System"
2167,"San Gabriel Valley Water Company - Montebello 1"
2174,"City Of San Jose - Nsj - Alviso"
397,"Cws - Kernville"
1094,"Greenfield County Water District"
390,"California Water Service Company. - Dixon"
2298,"City Of Signal Hill Water Department"
2132,"Sacramento County Water Agency - Arden Park Vista"
102,"Arvin Community Services District"
2290,"City Of Sierra Madre Water Department"
2691,"Westborough Water District"
1644,"Montebello Land & Water Company"
787,"City Of East Palo Alto"
2169,"City Of San Jacinto"
1587,"Menlo Park Municipal Water"
1181,"Town Of Hillsborough"
485,"Carpinteria Valley Water District"
1869,"Liberty Utilities - Lynwood"
2065,"City Of Ripon"
2060,"Rio Linda - Elverta Community Water District"
372,"Cal Am Water Company - Fruitridge Vista"
1408,"Temescal Valley Water District"
1110,"City Of Grover Beach Public Works Department"
2132,"Sacramento County Water Agency Mather - Sunrise"
2241,"City Of Seal Beach"
1660,"Morro Bay Public Worksater Districtpartment - Water Division"
2215,"City Of Santa Fe Springs Water Department"
1217,"City Of Huntington Park Water Department"
1803,"Orange Vale Water Company"
1983,"Quartz Hill Water District"
2180,"San Lorenzo Valley Water District"
1188,"City Of Hollister"
1142,"Hawthorne - City Of City Water Department"
2419,"Sunny Slope Water Company"
386,"Cws - North Garden"
1866,"City Of Paramount Water Department"
1732,"City Of Norco"
784,"East Niles Community Services District"
856,"Estero Municipal Improvement District"
1605,"Mid - Peninsula Water District"
1782,"Oildale Mwater Company"
575,"Coachella Water Authority"
1927,"Placer County Water Agency - Auburn - Bowater Agency"
2405,"Suisun - Solano Water Authority"
2165,"San Gabriel County Water District"
1335,"Laguna Beach County Water District"
1157,"City Of Hemet"
1899,"City Of Pico Rivera Water Department"
178,"City Of Benicia"
830,"El Toro Water District"
420,"California Water Service - San Carlos"
1875,"Paso Robles Water Department"
193,"City Of Beverly Hills Water Department"
2177,"City Of San Juan Capistrano"
481,"Carmichael Water District"
2723,"City Of Whittier Water Department"
2157,"City Of San Bruno"
1234,"Indian Wells Valley W.d"
263,"City Of Brea"
1739,"North Coast County Water District"
835,"Elk Grove Water District"
2605,"Valley County Water District"
1626,"Mission Springs Water District"
1536,"City Of Manhattan Beach Water Department"
1650,"City Of Monterey Park Water Department"
1005,"City Of Glendora Water Department"
1510,"City Of Madera"
93,"City Of Arcadia"
2115,"Rowater Agency Water District"
2528,"City Of Tustin"
607,"City Of Compton Water Department"
2182,"San Luis Obispo Water Department"
1619,"City Of Milpitas"
2330,"Soquel Creek Water District"
1125,"City Of Hanford"
422,"California Water Service - S San Francisco"
1869,"Liberty Utilities - Bellflower - Norwalk"
30,"City Of Alhambra"
387,"California Water Service - Bear Gulch"
402,"Cwsc Los Altos Suburban"
1851,"City Of Palo Alto"
1748,"North Marin Water District"
1236,"Indio Water Authority"
727,"Desert Water Agency"
1927,"Placer County Water Agency - Foothill"
2782,"Yorba Linda Water District"
2496,"City Of Tracy"
413,"California Water Service Company. - Palos Ver"
369,"Cal Am Water Company- - Ralph Lane"
369,"Cal Am Water Company- - Chualar"
369,"Cal Am Water Company- - Ambler Park"
369,"Cal Am Water Company- - Toro"
369,"Cal Am Water Company- - Hidden Hills"
417,"Country Meadows Mwater Company"
417,"Cwsc Las Lomas"
417,"Cwsc Oak Hills"
2603,"City Of Vallejo - Lakes System"
2451,"City Of Tehachapi"
2237,"Scotts Valley Water District"
2063,"City Of Rio Vista"
2260,"City Of Shafter"
1333,"La Verne, City Water District"
1238,"City Of Inglewood Water Department"
1424,"City Of Lincoln"
110,"City Of Atwater"
2523,"Tuolumne Utilities District - Wards Ferry Ranches"
2523,"Tuolumne Utilities District - Peaceful Pines Water System"
1718,"Nevada Id - Smartsville"
2523,"Tuolumne Utilities District - Phoenix Lake Park"
2523,"Tuolumne Utilities District - Apple Valley Estates"
2523,"Tuolumne Utilities District - Scenic View - Scenic Brook"
2523,"Tuolumne Utilities District - Ponderosa"
376,"Cal American Water Company- Las Posas Estates"
2523,"Tuolumne Utilities District - Cedar Ridge Water System"
2523,"Tuolumne Utilities District - Tuolumne Water System"
2132,"Hood Water Maintenance District [Sws]"
2132,"Northgate 880 [Sws]"
2132,"East Walnut Grove [Sws]"
495,"Casitas Municipal Water District"
405,"Cal - Water Service Company.-Marysville"
1792,"Olivehurst Public U.d"
1427,"Linda County Water District"
2523,"Tuolumne Utilities District - Sonora - Jamestown Water System"
428,"California Water Service Company - Westlake"
1057,"Golden State Water Company- - Simi Valley"
